artist_id,Names,nationality,style,birth,death
609,John Singleton Copley,American,Colonial,1738,1815
610,Alfred Thompson Bricher,American,Hudson River School,1837,1908
611,Sir Edwin Landseer,English,Realist,1802,1873
612,Katsushika Hokusai Hokusai,Japanese,Ukiyo-e,1760,1849
613,John Everett Millais,English,Romantic,1829,1896
614,Childe Hassam Hassam,American,Impressionist,1859,1935
615,Abraham Mignon Mignon,Dutch,Baroque,1640,1679
616,Adele Romany Romany,French,Portraitist,1769,1846
617,Hendrik Voogd Voogd,Dutch,Landscape Art,1768,1839
618,Becker Paula Modersohn,German,Expressionist,1876,1907
619,Sandro Botticelli Botticelli,Italian,Early Renaissance,1445,1510
620,Yves Tanguy Tanguy,French,Surrealist,1900,1955
621,Adelaide Labille Guiard,French,Neoclassical,1749,1803
622,William Bradford Bradford,American,Marine Art,1823,1892
623,Henry Moret Moret,French,Impressionist,1856,1913
624,Theodore C Steele,American,Impressionist,1847,1926
625,Gerard Borch Ter Borch,Dutch,Baroque,1617,1681
626,John Ottis Adams,American,Impressionist,1851,1927
627,Tiziano Titian Vecellio,Italian,High Renaissance,1485,1576
628,Joachim Beuckelaer Beuckelaer,Dutch,Renaissance,1533,1574
629,Hans Dahl Dahl,Norwegian,Realist,1849,1937
630,Juan Gris Gris,Spanish,Cubist,1887,1927
631,Bartholomeus Helst Van der Helst,Dutch,Portraitist,1613,1670
632,Eugene Blaas De Blaas,Austrian,Classicist,1843,1931
633,Ivan Aivazovskiy Aivazovskiy,Russian,Landscape Art,1817,1900
634,Charles Caleb Ward,Canadian,Realist,1811,1879
635,Rosa Bonheur Bonheur,French,Realist,1822,1899
636,Carlo Brancaccio Brancaccio,Italian,Impressionist,1861,1920
637,William Michael Harnett,American,Realist,1848,1892
638,Jean Baptiste Oudry,French,Baroque,1686,1755
639,George Caleb Bingham,American,Realist,1811,1879
640,Thomas Jacques Somerscales,English,Marine Art,1842,1927
641,Arthur Fitzwilliam Tait,American,Naturalist,1819,1905
642,Jan Adam Kruseman,Dutch,Portraitist,1804,1862
643,Frans Francken Francken,Flemish,Baroque,1581,1642
644,Benjamin West West,American,Neoclassical,1738,1820
645,Gustave Courbet Courbet,French,Realist,1819,1877
646,Louis Apol Apol,Dutch,Impressionist,1850,1936
647,Simon Vouet Vouet,French,Baroque,1590,1649
648,Jean Francois Millet,French,Realist,1814,1875
649,Maurice Utrillo Utrillo,French,Realist,1883,1955
650,Edouard Manet Manet,French,Impressionist,1832,1883
651,Jules Breton Breton,French,Realist,1827,1906
652,Paul Kane Kane,Canadian,America West,1810,1871
653,Emile Bernard Bernard,French,Symbolist,1868,1941
654,Lev Feliksovich Lagorio,Russian,Romantic,1827,1905
